iteration,loss,pure_loss,dist,C,gamma
0,-0.8938,-0.8938,0,4170.803025021039,0.07203272901972238
1,-0.9203,-0.9203,0,9947.082647057807,0.0016514878851535476
2,-0.9064,-0.9064,0,8921.114835629842,0.0007734189792984854
3,-0.9407,-0.9407,0,9996.765899651406,0.013327419602392927
4,-0.9417,-0.9417,0,9946.525689345995,0.02124789459479295
5,-0.9314,-0.9314,0,10000.0,0.04565026427474826
6,-0.7802,-0.7802,0,1.0,1e-06
7,-0.8673,-0.8673,0,10000.0,0.1
8,-0.7967,-0.7967,0,1.0,0.1
9,-0.9453,-0.9453,0,7272.248846827846,0.042576466552163676
10,-0.8885,-0.8885,0,7401.676059858799,0.06045384289692983
11,-0.9251,-0.9251,0,6266.029827647395,0.02979341278381009
12,-0.9412,-0.9412,0,8298.824083055073,0.03298051043172857
13,-0.9532,-0.9532,0,10000.0,0.030174291174660087
14,-0.9424,-0.9424,0,3399.7800594044493,0.0452549346085373
15,-0.9445,-0.9445,0,486.8327714196876,0.05151084878241881
16,-0.9273,-0.9273,0,1942.0733196200933,0.05486499356089652
17,-0.939,-0.939,0,1.0,0.04049007675277165
18,-0.9471,-0.9471,0,5119.209775270179,0.04670122461461225
19,-0.9201,-0.9201,0,1.0,0.0573751663303201
20,-0.9355,-0.9355,0,1709.9226031263318,0.038364764566695686
21,-0.866,-0.866,0,5887.865934636003,0.1
22,-0.935,-0.935,0,4289.5078782470455,0.03523744295748107
23,-0.9327,-0.9327,0,10000.0,0.03209820626657868
24,-0.9285,-0.9285,0,8719.607418310605,0.023673641841070722
25,-0.935,-0.935,0,5617.492268005075,0.04422903051251287
26,-0.88,-0.88,0,5121.5817805078705,0.000266569724181178
27,-0.9333,-0.9333,0,4002.4455682761068,0.049168405674108316
28,-0.9248,-0.9248,0,2992.002718724837,0.030866048880396495
29,-0.9304,-0.9304,0,1247.3855073817795,0.04452042278498221
30,-0.9411,-0.9411,0,9987.803601888778,0.06353802720405467
31,-0.932,-0.932,0,10000.0,0.07172929220380533
32,-0.9369,-0.9369,0,8753.699029519552,0.04335157614498845
33,-0.9438,-0.9438,0,9992.622673480493,0.05403023281272582
34,-0.9504,-0.9504,0,3.9167144866287154,0.03648231551089153
35,-0.9449,-0.9449,0,8.468703693465553,0.04674413106442591
36,-0.955,-0.955,0,18.39348546068826,0.03606096819296162
37,-0.9549,-0.9549,0,6.111805930623941,0.030891498734924704
38,-0.9514,-0.9514,0,772.3043016490705,0.030816870540140588
39,-0.9583,-0.9583,0,46.05089788775757,0.030039964064261383
