iteration,loss,pure_loss,dist,C,gamma
0,-0.8938,-0.8938,0,4170.803025021039,0.07203272901972238
1,-0.8889,-0.8889,0,10000.0,1e-06
2,-0.9041,-0.9041,0,3450.3812164820906,0.08252853653253678
3,-0.922,-0.922,0,3250.4451733414603,0.08544118402985983
4,-0.8841,-0.8841,0,3124.107447823198,0.08728228696331616
5,-0.9137,-0.9137,0,3235.114743713543,0.08113334192005026
6,-0.8891,-0.8891,0,2946.868011930967,0.07890043146786456
7,-0.9133,-0.9133,0,3935.2950446205605,0.08626586200608248
8,-0.8374,-0.8374,0,4148.358109554434,0.08778637119723502
9,-0.9198,-0.9198,0,133.47727763365012,0.00021051047234462507
10,-0.9193,-0.9193,0,133.41111248754615,0.0002113161371219401
11,-0.9218,-0.9218,0,133.44261443792954,0.00021089864561419858
12,-0.9186,-0.9186,0,133.44383413490402,0.0002108919548648067
13,-0.8998,-0.8998,0,100.96122969921066,1e-06
14,-0.8963,-0.8963,0,130.24723399327996,1e-06
15,-0.9178,-0.9178,0,128.47372788186442,0.000132912939223662
16,-0.896,-0.896,0,690.6220916952574,1e-06
17,-0.9092,-0.9092,0,1.0,0.00029732935598970195
18,-0.9517,-0.9517,0,1.0,0.007962341979196801
19,-0.9521,-0.9521,0,1.0,0.021065122809371464
20,-0.9518,-0.9518,0,1.0,0.022191051017690405
21,-0.9574,-0.9574,0,851.2146499129675,0.022598463318427343
22,-0.9549,-0.9549,0,477.73954888566755,0.03399300866197888
23,-0.9539,-0.9539,0,1854.2214126026586,0.03196426111348244
24,-0.9337,-0.9337,0,1.0,0.04481320813454266
25,-0.9546,-0.9546,0,2444.640013327063,0.025139456425362458
26,-0.9413,-0.9413,0,3848.249578804487,0.027708737239170438
27,-0.9381,-0.9381,0,1389.4822549637076,0.029449892792755405
28,-0.9487,-0.9487,0,1.0,0.02923267448975486
29,-0.9485,-0.9485,0,2304.020407606796,0.039755858070140426
30,-0.9282,-0.9282,0,4538.5181302918545,0.010108435249561516
31,-0.9357,-0.9357,0,1655.2086303046435,0.025377513951330966
32,-0.9475,-0.9475,0,1.0,0.031234499008535574
33,-0.8673,-0.8673,0,10000.0,0.1
34,-0.9222,-0.9222,0,1.0,0.05550115723724487
35,-0.9483,-0.9483,0,1.0,0.02999606769335007
36,-0.9222,-0.9222,0,2009.470538546211,0.034900351815983305
37,-0.9489,-0.9489,0,1.0,0.02918506854735401
38,-0.9491,-0.9491,0,1.0,0.02886928130442757
39,-0.7967,-0.7967,0,1.0,0.1
