iteration,loss,pure_loss,dist,C,gamma
0,-0.8938,-0.8938,0,4170.803025021039,0.07203272901972238
1,-0.8889,-0.8889,0,10000.0,1e-06
2,-0.8903,-0.8903,0,5216.70753391226,0.08618646970525079
3,-0.9197,-0.9197,0,1.826467842710261,0.0007001424268740111
4,-0.9491,-0.9491,0,1.0,0.028845920795401696
5,-0.9355,-0.9355,0,1.0,0.04277167629827675
6,-0.9557,-0.9557,0,1394.6416287618765,0.026553178147150903
7,-0.9477,-0.9477,0,2977.8694590550026,0.02093693382640351
8,-0.9446,-0.9446,0,2354.844893750171,0.035224167352493896
9,-0.8673,-0.8673,0,10000.0,0.1
10,-0.7967,-0.7967,0,1.0,0.1
11,-0.8438,-0.8438,0,4800.228640801629,1e-06
12,-0.9547,-0.9547,0,1604.158721230601,0.01782585809929159
13,-0.9439,-0.9439,0,10000.0,0.04585089118295969
14,-0.9416,-0.9416,0,7565.906074333456,0.049529589073776095
15,-0.9054,-0.9054,0,9052.210885196902,0.062015498141693555
16,-0.9172,-0.9172,0,8938.111877575107,0.0340902307578921
17,-0.8866,-0.8866,0,5524.4355076001875,0.04433814691758468
18,-0.9539,-0.9539,0,2140.288888582087,0.02404681285457418
19,-0.9549,-0.9549,0,536.0888207622952,0.01904375997841845
20,-0.9514,-0.9514,0,1071.8296452062234,0.03532162600566553
21,-0.9219,-0.9219,0,1600.3823374312549,0.052803519172089704
22,-0.9429,-0.9429,0,1943.2648189893894,0.007553286747711818
23,-0.9133,-0.9133,0,6834.281918968927,0.06404514552926746
24,-0.953,-0.953,0,1.0,0.017188075807637128
25,-0.904,-0.904,0,7079.1541767737135,0.1
26,-0.9412,-0.9412,0,8761.335543513811,0.047462702030786605
27,-0.956,-0.956,0,10000.0,0.03262872265406665
28,-0.954,-0.954,0,10000.0,0.02352772543515829
29,-0.804,-0.804,0,3857.1179738588803,0.1
30,-0.911,-0.911,0,1.0,0.06378358240297811
31,-0.9536,-0.9536,0,1311.4616452156988,0.02218026626931472
32,-0.954,-0.954,0,903.6032694039485,0.01235033358768319
33,-0.9499,-0.9499,0,10000.0,0.03617139014894397
34,-0.9532,-0.9532,0,2277.6023869947803,0.016336332591064665
35,-0.8795,-0.8795,0,7563.799223381733,0.08411289985929579
36,-0.9542,-0.9542,0,688.6252371634985,0.02572550377972504
37,-0.9553,-0.9553,0,10000.0,0.017706212781127408
38,-0.9466,-0.9466,0,3273.5612803781914,0.04867512340710507
39,-0.8906,-0.8906,0,3453.8547051992405,0.03562114545318914
