iteration,pure_loss,dist
1,20.177836,4.726486
2,1.305722,14.643916
3,148.37439,15.162068
4,271.841513,11.119856
5,42.722159,7.086902
6,16.273798,8.688222
7,13.08728,15.941154
8,16.79942,20.365382
9,2.526377,10.289387
10,6.248062,9.449237
11,10.514917,10.99336
12,32.565221,11.274984
13,55.491973,10.923074
14,4.640232,16.920271
15,16.45446,3.455491
16,7.123797,4.385585
17,2.772572,8.9011
18,4.332283,9.221346
19,0.466651,1.255077
20,4.815899,1.625585
21,1.51107,1.946611
22,0.531636,15.555663
23,0.41775,9.580972
24,1.653205,14.192213
25,3.648865,19.532197
26,0.780545,9.57865
27,0.755753,9.237623
28,2.065094,1.630957
29,0.478446,1.29578
30,0.561485,0.977777
31,0.417917,16.099792
32,0.472699,15.549571
33,0.433085,9.575984
34,0.433769,9.435521
35,0.494997,1.552627
36,0.398538,1.206655
37,0.398405,1.213877
38,0.398109,1.218264
39,0.401607,9.572742
40,6.050708,3.95298
