iteration,pure_loss,dist
1,165.213619,13.450257
2,30.878443,6.161215
3,308.129096,11.586906
4,46.834626,6.977076
5,53.579276,15.82382
6,2.353726,9.578257
7,145.872191,15.649767
8,3.060345,10.40438
9,6.639441,3.281055
10,24.696491,8.440179
11,102.662181,12.702722
12,8.801122,8.812844
13,6.631367,3.938743
14,41.74418,18.170439
15,14.710025,4.050425
16,37.023081,4.656829
17,17.5083,20.536762
18,17.278075,3.85919
19,11.874478,7.427335
20,10.960889,11.034428
21,0.818991,0.962131
22,5.172862,11.798438
23,0.892618,17.301278
24,10.998467,9.00633
25,1.837691,9.109448
26,3.215802,1.717557
27,3.599682,19.588466
28,1.611301,14.50281
29,1.314165,15.537478
30,0.908754,9.283829
31,0.972136,2.014571
32,1.809685,0.886321
33,0.503173,9.716991
34,0.865923,16.012229
35,0.805199,1.052854
36,0.582279,16.484248
37,0.498223,15.24062
38,0.469488,9.383116
39,0.403716,1.256287
40,0.747853,9.568317
