iteration,pure_loss,dist
1,1.001946,2.787864
2,1.002154,2.933719
3,1.002948,3.433663
4,1.002684,3.276507
5,1.001469,2.469653
6,1.001599,2.506464
7,1.003485,3.733782
8,1.003755,3.875618
9,1.002228,2.988456
10,1.003474,3.727648
11,1.003113,3.528892
12,1.000783,2.108031
13,1.001792,2.691488
14,1.001815,2.253983
15,1.001894,2.459602
16,1.001806,2.687907
17,1.001474,2.456891
18,0.951887,1.487551
19,0.819512,1.148593
20,0.930686,1.410222
21,0.90014,1.328518
22,0.757608,1.050485
23,0.8653,1.195279
24,0.788435,1.096232
25,0.498437,0.741146
26,0.760537,1.062337
27,0.96915,1.580759
28,0.66325,0.929167
29,1.001629,2.6072
30,0.347945,0.588622
31,0.404949,0.646075
32,0.742774,1.022442
33,0.789101,1.083864
34,1.002004,2.841405
35,0.732024,1.004045
36,1.003152,3.55093
37,0.688706,0.942673
38,1.002763,3.324531
39,0.146895,0.359388
40,0.494519,0.733603
