iteration,pure_loss,dist
1,1.001946,2.787864
2,1.003099,3.520584
3,1.003164,3.557632
4,1.003592,3.790305
5,1.002044,2.852897
6,1.002367,3.079359
7,1.002356,3.068797
8,1.003953,3.976515
9,1.003299,3.63276
10,1.004086,4.042721
11,1.001917,2.774507
12,1.002886,3.397392
13,1.001549,2.484338
14,1.002195,2.963138
15,1.001511,2.37962
16,1.003676,3.834667
17,1.005523,4.700056
18,1.002249,2.998244
19,1.002467,3.141977
20,1.002902,3.407275
21,1.003079,3.509324
22,1.002493,3.159461
23,1.002913,3.413443
24,1.00265,3.255843
25,1.003106,3.524838
26,1.003563,3.775145
27,1.001777,2.599114
28,1.004248,4.122292
29,1.001754,2.639916
30,0.996177,1.867273
31,1.002173,2.948588
32,1.002976,3.450037
33,1.002544,3.190411
34,1.003734,3.864953
35,1.003828,3.912805
36,0.983149,1.734218
37,1.002768,3.327343
38,1.00212,2.921379
39,1.003028,3.480052
40,1.001649,2.503765
