iteration,pure_loss,dist
1,1.178636,1.629226
2,45.46866,3.500658
3,16.046715,3.453009
4,39.71385,2.621489
5,15.558631,2.758939
6,53.782496,3.270371
7,1.947759,1.121708
8,150.9,5.078004
9,7.205447,3.497349
10,77.560035,3.798812
11,60.487964,4.481494
12,14.501549,3.089902
13,0.236335,1.877289
14,45.922297,2.627325
15,10.417998,3.191479
16,0.072995,2.494882
17,1.020134,2.626693
18,15.500836,2.537427
19,1.679377,1.986099
20,0.322435,1.194592
21,3.510783,2.229002
22,2.266558,1.299513
23,1.155409,1.211345
24,-0.322685,1.033186
25,-0.374862,0.902521
26,10.891562,1.989239
27,0.368467,2.357348
28,0.908693,2.646421
29,43.170933,3.876788
30,2.941514,1.631916
31,2.124931,1.940806
32,-0.76326,1.244249
33,-0.275777,0.839666
34,-0.964382,1.256664
35,-0.68108,1.348454
36,129.138809,4.286272
37,-0.997102,1.057182
38,0.174927,2.878741
39,-1.005485,1.207638
40,-1.010938,1.073266
