iteration,pure_loss,dist
1,1694.607537,4.61335
2,687808.348602,11.782093
3,5450.66568,8.943881
4,66918.395035,8.953551
5,5412.087327,14.475958
6,4782.720892,12.636453
7,3193.085767,7.937286
8,5057.347272,8.509437
9,259.362963,3.900559
10,6458.17609,12.740572
11,2530.870517,8.56541
12,5.027219,2.276685
13,153.836201,13.911602
14,77.734607,5.742047
15,291.719403,7.536925
16,14.760881,9.914296
17,680.549591,2.43447
18,36.033984,2.823858
19,91.764507,4.885234
20,107.762115,3.280947
21,91.909644,12.93317
22,817.496989,12.945997
23,178.2297,14.112771
24,115.027728,8.03986
25,4.796092,0.921037
26,43.425233,3.704145
27,89.948893,1.944547
28,106.572531,11.773023
29,122.003285,7.274513
30,11.883889,6.609527
31,49.783001,0.987446
32,168.253269,1.88262
33,153.338093,4.803743
34,25.100029,10.725982
35,67.443164,0.606406
36,17.002209,7.947757
37,8.238962,4.897612
38,5.891056,4.767426
39,75.377976,3.11654
40,5.507785,1.869012
