iteration,pure_loss,dist
1,1694.607537,4.61335
2,87882.783825,11.644557
3,174442.337397,13.345757
4,408.776427,14.205079
5,5965.719517,8.33283
6,153784.987932,8.540583
7,4935.896721,9.150404
8,7183.341453,12.73225
9,947440.446157,12.944568
10,31867.633539,10.448992
11,14466.712051,7.618247
12,5549.217721,5.498491
13,5934.658311,13.216193
14,25972.360012,9.104575
15,18529.574377,13.848429
16,688.404694,2.937954
17,103.626649,13.038501
18,2522.528871,8.570503
19,22536.0,15.297059
20,11.926517,3.509151
21,88.690495,10.264012
22,9713.513362,12.876917
23,22.146358,1.27031
24,452.575802,9.017698
25,104.756544,4.995689
26,158.947404,2.890636
27,539.242022,13.80302
28,143.756745,3.434977
29,494.978091,7.911967
30,510.90429,10.189826
31,34.778853,3.810496
32,459.947999,13.203373
33,752.253295,3.573542
34,431.92976,3.717798
35,1.263487,2.09467
36,424.366171,3.259574
37,161.203239,6.729756
38,18.802939,14.011101
39,234.534843,0.919069
40,66.547077,5.211044
